what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875431021
started,bundle,org.eclipse.wst.common.environment,1.0.400.v200912181832,"org.eclipse.wst.common.environment",1379875438965
started,bundle,org.eclipse.emf.codegen,2.6.0.v20110913-1156,"org.eclipse.emf.codegen",1379875485340
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875485597
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.newWizard",1379875485624
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379875486088
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1379875486285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875501961
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1379875509060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875575892
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875588022
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875594897
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1379875600806
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110505-0800,"org.eclipse.jdt.junit",1379875601410
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379875601720
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379875614757
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875617952
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875618058
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1379875622642
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875624277
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875631916
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875636448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875643537
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1379875645880
started,bundle,org.eclipse.jst.ejb.ui,1.1.600.v201104261451,"org.eclipse.jst.ejb.ui",1379875657025
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875657438
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1379875658539
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1379875658545
opened,view,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.ui.ServersView",1379875663103
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875664120
executed,command,org.eclipse.wst.server.ui,1.1.306.v20110823_1704,"org.eclipse.wst.server.launchShortcut.run",1379875664267
started,bundle,org.eclipse.m2e.launching,1.4.0.20130601-0317,"org.eclipse.m2e.launching",1379875665837
started,bundle,org.python.pydev.debug,2.7.0.2013032300,"org.python.pydev.debug",1379875668018
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1379875673282
started,bundle,com.aptana.console,3.0.0.1365900908,"com.aptana.console",1379875673405
started,bundle,com.aptana.interactive_console,2.7.0.2013032300,"com.aptana.interactive_console",1379875673647
opened,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379875674834
activated,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1379875674885
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875698124
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875709108
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875711806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875713993
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875715494
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875717584
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875721972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875726059
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875727988
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875731729
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1379875733959
